batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,21,914,0000077281_2021_4,27
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_002.csv,22,915,0000077281_2021_4,29
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,1,297,0000080035_2007_4,3
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,2,298,0000080035_2007_4,4
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,3,299,0000080035_2007_4,5
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,4,300,0000080035_2007_4,6
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,5,312,0000080035_2007_4,25
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,6,1369,0000089089_2007_4,11
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,7,1379,0000089089_2007_4,25
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,8,1381,0000089089_2007_4,29
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,9,203,0000091928_2006_4,8
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,10,207,0000091928_2006_4,12
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,11,208,0000091928_2006_4,13
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,12,1,0000109380_2009_4,4
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,13,3,0000109380_2009_4,7
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,14,85,0000215419_2013_4,20
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,15,86,0000215419_2013_4,21
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,16,87,0000215419_2013_4,22
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,17,1465,0000216039_2008_4,6
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,18,1469,0000216039_2008_4,10
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,19,1471,0000216039_2008_4,12
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,20,1472,0000216039_2008_4,13
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,21,1473,0000216039_2008_4,14
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_003.csv,22,1474,0000216039_2008_4,15
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,1,1518,0000315545_2016_4,1
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,2,1519,0000315545_2016_4,2
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,3,1522,0000315545_2016_4,19
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,4,1523,0000315545_2016_4,20
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,5,1524,0000315545_2016_4,22
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,6,1534,0000315545_2016_4,34
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,7,1537,0000315545_2016_4,37
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,8,1539,0000315545_2016_4,39
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,9,1541,0000315545_2016_4,41
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,10,1543,0000315545_2016_4,43
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,11,1545,0000315545_2016_4,45
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,12,1547,0000315545_2016_4,47
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,13,326,0000317477_2010_4,12
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,14,328,0000317477_2010_4,17
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,15,344,0000317477_2010_4,35
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,16,345,0000317477_2010_4,36
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,17,346,0000317477_2010_4,37
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,18,347,0000317477_2010_4,38
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,19,604,0000317788_2016_4,14
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,20,606,0000317788_2016_4,16
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,21,607,0000317788_2016_4,17
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,22,609,0000317788_2016_4,19
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,23,610,0000317788_2016_4,20
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_004.csv,24,617,0000317788_2016_4,27
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,1,766,0000716634_2014_4,1
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,2,767,0000716634_2014_4,8
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,3,771,0000716634_2014_4,13
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,4,772,0000716634_2014_4,14
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,5,365,0000717954_2023_4,7
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,6,366,0000717954_2023_4,8
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,7,367,0000717954_2023_4,9
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,8,368,0000717954_2023_4,10
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,9,375,0000717954_2023_4,18
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,10,376,0000717954_2023_4,19
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,11,377,0000717954_2023_4,20
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,12,378,0000717954_2023_4,21
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,13,379,0000717954_2023_4,22
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,14,380,0000717954_2023_4,24
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,15,382,0000717954_2023_4,26
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,16,383,0000717954_2023_4,27
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,17,384,0000717954_2023_4,28
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,18,165,0000739608_2014_4,9
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,19,170,0000739608_2014_4,18
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,20,171,0000739608_2014_4,19
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,21,173,0000739608_2014_4,21
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,22,174,0000739608_2014_4,22
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,23,177,0000739608_2014_4,25
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_005.csv,24,178,0000739608_2014_4,26
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,1,69,0000754673_2011_4,2
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,2,70,0000754673_2011_4,5
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,3,591,0000783412_2014_4,18
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,4,599,0000783412_2014_4,26
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,5,600,0000783412_2014_4,27
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,6,601,0000783412_2014_4,28
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,7,1485,0000790703_2013_4,8
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,8,1486,0000790703_2013_4,9
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,9,1487,0000790703_2013_4,10
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,10,1509,0000790703_2013_4,39
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,11,804,0000796655_2008_4,6
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,12,805,0000796655_2008_4,7
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/other_reaudit_round3/batches/batch_006.csv,13,810,0000796655_2008_4,13
