batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,13,204,0000091928_2006_4,9
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,14,162,0000093676_2014_4,18
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,15,163,0000093676_2014_4,19
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,16,164,0000093676_2014_4,20
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,17,88,0000215419_2013_4,23
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,18,89,0000215419_2013_4,24
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,19,1461,0000216039_2008_4,2
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,20,1462,0000216039_2008_4,3
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,21,1463,0000216039_2008_4,4
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,22,1464,0000216039_2008_4,5
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,23,1466,0000216039_2008_4,7
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,24,1467,0000216039_2008_4,8
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_002.csv,25,1468,0000216039_2008_4,9
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,1,1470,0000216039_2008_4,11
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,2,1533,0000315545_2016_4,33
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,3,1535,0000315545_2016_4,35
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,4,1536,0000315545_2016_4,36
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,5,1540,0000315545_2016_4,40
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,6,1544,0000315545_2016_4,44
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,7,1546,0000315545_2016_4,46
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,8,1548,0000315545_2016_4,48
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,9,1549,0000315545_2016_4,49
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,10,1550,0000315545_2016_4,50
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/remediation_reaudit_round3/batches/batch_003.csv,11,1551,0000315545_2016_4,51
