batch_id,batch_path,row_order,row_id,doc_id,sent_id
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,15,301,0000080035_2007_4,10
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,16,302,0000080035_2007_4,13
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,17,303,0000080035_2007_4,14
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,18,304,0000080035_2007_4,15
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,19,305,0000080035_2007_4,16
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,20,306,0000080035_2007_4,17
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,21,307,0000080035_2007_4,19
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,22,308,0000080035_2007_4,20
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,23,310,0000080035_2007_4,22
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,24,311,0000080035_2007_4,23
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,1,1368,0000089089_2007_4,7
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,2,1370,0000089089_2007_4,12
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,3,1371,0000089089_2007_4,13
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,4,1372,0000089089_2007_4,14
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,5,1373,0000089089_2007_4,15
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,6,1375,0000089089_2007_4,19
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,7,1376,0000089089_2007_4,20
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,8,1377,0000089089_2007_4,21
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,9,1378,0000089089_2007_4,22
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,10,1382,0000089089_2007_4,30
